tokeniser_type,delta,vocab_size,compression_rate
AbsTokens,16,40000,1.0009102738274878
AbsTokens,16,45000,1.0536963538590798
AbsTokens,16,50000,1.0946169612866914
AbsTokens,16,55000,1.1275159563687025
AbsTokens,16,60000,1.155244835149714
AbsTokens,16,65000,1.179594598298458
AbsTokens,16,70000,1.2009295184529658
AbsTokens,16,75000,1.2204607230231643
AbsTokens,16,80000,1.2379779327237819
AbsTokens,16,85000,1.2544943005226785
AbsTokens,16,90000,1.2689891357338559
AbsTokens,16,95000,1.2825888405498032
AbsTokens,16,100000,1.2956924810941108
AbsTokens,32,15000,1.2962982681344106
AbsTokens,32,20000,1.460138366407045
AbsTokens,32,25000,1.572859695393349
AbsTokens,32,30000,1.654466644586875
AbsTokens,32,35000,1.7187155360745157
AbsTokens,32,40000,1.7716832653003118
AbsTokens,32,45000,1.8166177853056011
AbsTokens,32,50000,1.8544706398776478
AbsTokens,32,55000,1.8890318085509947
AbsTokens,32,60000,1.9189977827369658
AbsTokens,32,65000,1.946382385153388
AbsTokens,32,70000,1.970700080004761
AbsTokens,32,75000,1.9943708261993005
AbsTokens,32,80000,2.0134822619451427
AbsTokens,32,85000,2.033918865345835
AbsTokens,32,90000,2.052086674460913
AbsTokens,32,95000,2.0670730129935944
AbsTokens,32,100000,2.0812082200202475
RelTokens,2,60000,1.1201970819115032
RelTokens,2,65000,1.184437680045517
RelTokens,2,70000,1.2294055027431947
RelTokens,2,75000,1.263837287315956
RelTokens,2,80000,1.2921164785152133
RelTokens,2,85000,1.3154537020310948
RelTokens,2,90000,1.3351942435613766
RelTokens,2,95000,1.3523332074466234
RelTokens,2,100000,1.3675477992067782
RelTokens,4,30000,1.3882977231068132
RelTokens,4,35000,1.5050377475489365
RelTokens,4,40000,1.565159100154819
RelTokens,4,45000,1.605420150633445
RelTokens,4,50000,1.6363447128664346
RelTokens,4,55000,1.65988992888621
RelTokens,4,60000,1.6793844497707233
RelTokens,4,65000,1.696363771017141
RelTokens,4,70000,1.7110942331333465
RelTokens,4,75000,1.7239659514185326
RelTokens,4,80000,1.7337237511950518
RelTokens,4,85000,1.7440679948024571
RelTokens,4,90000,1.7538380883571756
RelTokens,4,95000,1.7617080263540477
RelTokens,4,100000,1.767450595381294
RelTokens,8,15000,1.8236416056064342
RelTokens,8,20000,1.9716092039018598
RelTokens,8,25000,2.0513227390301325
RelTokens,8,30000,2.1039264323101876
RelTokens,8,35000,2.1437441620726463
RelTokens,8,40000,2.1755974168073875
RelTokens,8,45000,2.2007754032279094
RelTokens,8,50000,2.222990169040414
RelTokens,8,55000,2.2398960700518242
RelTokens,8,60000,2.2573598430135036
RelTokens,8,65000,2.27172785976008
RelTokens,8,70000,2.280481367065943
RelTokens,8,75000,2.2887676747431938
RelTokens,8,80000,2.2981819155954843
RelTokens,8,85000,2.308452064201924
RelTokens,8,90000,2.318031420321558
RelTokens,8,95000,2.3266851661742365
RelTokens,8,100000,2.3346662107292167
RelTokens,16,5000,1.942415369150354
RelTokens,16,10000,2.48090557962648
RelTokens,16,15000,2.6248096502518714
RelTokens,16,20000,2.7088935617407364
RelTokens,16,25000,2.7659117754548763
RelTokens,16,30000,2.8077515619657696
RelTokens,16,35000,2.8429103232045496
RelTokens,16,40000,2.8685940509801164
RelTokens,16,45000,2.894570744983071
RelTokens,16,50000,2.9091454458473565
RelTokens,16,55000,2.9178827404649175
RelTokens,16,60000,2.935575711572992
RelTokens,16,65000,2.952465121474764
RelTokens,16,70000,2.9677943786788346
RelTokens,16,75000,2.980997649470075
RelTokens,16,80000,2.991226566115531
RelTokens,16,85000,2.9960060530484602
RelTokens,16,90000,3.0006572216450635
RelTokens,16,95000,3.00354178951354
RelTokens,16,100000,3.006035837049986
RelTokens,32,5000,3.0654700046182692
RelTokens,32,10000,3.327035674488265
RelTokens,32,15000,3.4503240620255435
RelTokens,32,20000,3.533118442390074
RelTokens,32,25000,3.5927475496165315
RelTokens,32,30000,3.6319943780090327
RelTokens,32,35000,3.675713199703017
RelTokens,32,40000,3.697677329011193
RelTokens,32,45000,3.715317316305655
RelTokens,32,50000,3.7455665021481717
RelTokens,32,55000,3.7710340034521272
RelTokens,32,60000,3.7921484464721513
RelTokens,32,65000,3.803214902005652
RelTokens,32,70000,3.8094369157313697
RelTokens,32,75000,3.815686612396408
RelTokens,32,80000,3.8215214097967287
RelTokens,32,85000,3.826559817691942
RelTokens,32,90000,3.8316680680387303
RelTokens,32,95000,3.8355829090545814
RelTokens,32,100000,3.840117200699343
ScribeTokens,1,5000,0.5397857377505526
ScribeTokens,1,10000,0.6161669006600217
ScribeTokens,1,15000,0.6620048571694861
ScribeTokens,1,20000,0.6947445779255721
ScribeTokens,1,25000,0.7199302723066376
ScribeTokens,1,30000,0.7403041548585942
ScribeTokens,1,35000,0.7575878679768728
ScribeTokens,1,40000,0.7723151914740266
ScribeTokens,1,45000,0.7848946437543814
ScribeTokens,1,50000,0.7962691450787045
ScribeTokens,1,55000,0.8058430314746328
ScribeTokens,1,60000,0.8147458142572573
ScribeTokens,1,65000,0.8229812654975365
ScribeTokens,1,70000,0.8307896387455704
ScribeTokens,1,75000,0.8374121070795972
ScribeTokens,1,80000,0.8440808710724903
ScribeTokens,1,85000,0.8497072592396175
ScribeTokens,1,90000,0.8555424834015147
ScribeTokens,1,95000,0.8603575872724205
ScribeTokens,1,100000,0.865405220012158
ScribeTokens,2,5000,0.8346454002786321
ScribeTokens,2,10000,0.9274635207597474
ScribeTokens,2,15000,0.9830131258546054
ScribeTokens,2,20000,1.0227638996948776
ScribeTokens,2,25000,1.053297630736496
ScribeTokens,2,30000,1.0786338105565876
ScribeTokens,2,35000,1.0998530159315891
ScribeTokens,2,40000,1.117713261755579
ScribeTokens,2,45000,1.1337912066445541
ScribeTokens,2,50000,1.1482007770115785
ScribeTokens,2,55000,1.1611136518706968
ScribeTokens,2,60000,1.1727115727790935
ScribeTokens,2,65000,1.1840318396594665
ScribeTokens,2,70000,1.1938256356108086
ScribeTokens,2,75000,1.2032225866947213
ScribeTokens,2,80000,1.2120239574675338
ScribeTokens,2,85000,1.2196864621530745
ScribeTokens,2,90000,1.2271461055797017
ScribeTokens,2,95000,1.2342100051458935
ScribeTokens,2,100000,1.2410062494195373
ScribeTokens,4,5000,1.29904880652221
ScribeTokens,4,10000,1.4256861730045018
ScribeTokens,4,15000,1.5012979436469363
ScribeTokens,4,20000,1.556042344303799
ScribeTokens,4,25000,1.598887537755215
ScribeTokens,4,30000,1.6335580498531554
ScribeTokens,4,35000,1.6623480343510237
ScribeTokens,4,40000,1.6867138245710736
ScribeTokens,4,45000,1.7075751806729973
ScribeTokens,4,50000,1.7266812160334395
ScribeTokens,4,55000,1.742455648552083
ScribeTokens,4,60000,1.7574482173741868
ScribeTokens,4,65000,1.7708666432352773
ScribeTokens,4,70000,1.781543966243954
ScribeTokens,4,75000,1.7923265754251518
ScribeTokens,4,80000,1.8021779025499396
ScribeTokens,4,85000,1.811128034607122
ScribeTokens,4,90000,1.8194794357330841
ScribeTokens,4,95000,1.8259059315933086
ScribeTokens,4,100000,1.83258364738478
ScribeTokens,8,5000,2.0010894762726212
ScribeTokens,8,10000,2.1810224249832286
ScribeTokens,8,15000,2.281824384554225
ScribeTokens,8,20000,2.3506938147650667
ScribeTokens,8,25000,2.4007277040408344
ScribeTokens,8,30000,2.439124357311456
ScribeTokens,8,35000,2.4698183441190125
ScribeTokens,8,40000,2.49438886865539
ScribeTokens,8,45000,2.515986847726425
ScribeTokens,8,50000,2.5344890312441266
ScribeTokens,8,55000,2.54936973424191
ScribeTokens,8,60000,2.563365391713111
ScribeTokens,8,65000,2.5761819888745072
ScribeTokens,8,70000,2.587650411957981
ScribeTokens,8,75000,2.5976824447286546
ScribeTokens,8,80000,2.606977514500936
ScribeTokens,8,85000,2.614508992353133
ScribeTokens,8,90000,2.621208458400466
ScribeTokens,8,95000,2.625407880894431
ScribeTokens,8,100000,2.6289981758895387
ScribeTokens,16,5000,2.9198592238324377
ScribeTokens,16,10000,3.1190313315169513
ScribeTokens,16,15000,3.223301539026369
ScribeTokens,16,20000,3.2902976355474007
ScribeTokens,16,25000,3.3369071973161524
ScribeTokens,16,30000,3.374280686666847
ScribeTokens,16,35000,3.399496514859232
ScribeTokens,16,40000,3.4228746815117637
ScribeTokens,16,45000,3.443276044070465
ScribeTokens,16,50000,3.4613191040348124
ScribeTokens,16,55000,3.4733162161691236
ScribeTokens,16,60000,3.48156263673644
ScribeTokens,16,65000,3.4890344619298235
ScribeTokens,16,70000,3.495985559059328
ScribeTokens,16,75000,3.5029417803171574
ScribeTokens,16,80000,3.510403971626618
ScribeTokens,16,85000,3.5170447427837166
ScribeTokens,16,90000,3.523560469642174
ScribeTokens,16,95000,3.529202125319808
ScribeTokens,16,100000,3.5347453570940077
ScribeTokens,32,5000,3.9850715742141967
ScribeTokens,32,10000,4.17474571253231
ScribeTokens,32,15000,4.271818473347524
ScribeTokens,32,20000,4.333670700705984
ScribeTokens,32,25000,4.376593601916626
ScribeTokens,32,30000,4.410851571612457
ScribeTokens,32,35000,4.431756191518049
ScribeTokens,32,40000,4.445272152492947
ScribeTokens,32,45000,4.458384690244974
ScribeTokens,32,50000,4.471202497040374
ScribeTokens,32,55000,4.483781332456294
ScribeTokens,32,60000,4.495390273927236
ScribeTokens,32,65000,4.504304237796487
ScribeTokens,32,70000,4.512481427716627
ScribeTokens,32,75000,4.520623623029929
ScribeTokens,32,80000,4.527256191090935
ScribeTokens,32,85000,4.532673799878274
ScribeTokens,32,90000,4.538209717136353
ScribeTokens,32,95000,4.543034213618184
ScribeTokens,32,100000,4.547650497666427
TextTokens,1,5000,0.868405888141404
TextTokens,1,10000,0.9252532692150252
TextTokens,1,15000,0.9494630824382478
TextTokens,1,20000,0.9642311586087373
TextTokens,1,25000,0.9761174525533155
TextTokens,1,30000,0.9861228849136399
TextTokens,1,35000,0.9949551350641955
TextTokens,1,40000,1.002720066418548
TextTokens,1,45000,1.010112491015617
TextTokens,1,50000,1.0162934373105055
TextTokens,1,55000,1.0231927037452977
TextTokens,1,60000,1.029010065580056
TextTokens,1,65000,1.0336217499432874
TextTokens,1,70000,1.0392072395764083
TextTokens,1,75000,1.0446671436645072
TextTokens,1,80000,1.0495135111920602
TextTokens,1,85000,1.05372204557842
TextTokens,1,90000,1.0567017502289435
TextTokens,1,95000,1.0608968126975116
TextTokens,1,100000,1.0653026749352044
TextTokens,2,5000,0.992311059400911
TextTokens,2,10000,1.0747015369964057
TextTokens,2,15000,1.1264122993207315
TextTokens,2,20000,1.16450914791413
TextTokens,2,25000,1.194451960638443
TextTokens,2,30000,1.2186209802130177
TextTokens,2,35000,1.2389735270186193
TextTokens,2,40000,1.2560809923553666
TextTokens,2,45000,1.2708867533068007
TextTokens,2,50000,1.2843061985209672
TextTokens,2,55000,1.2953986758589946
TextTokens,2,60000,1.3067948677503913
TextTokens,2,65000,1.3157033106080254
TextTokens,2,70000,1.3246303149161034
TextTokens,2,75000,1.3328094148587466
TextTokens,2,80000,1.3387393100232912
TextTokens,2,85000,1.3450331199266659
TextTokens,2,90000,1.35135354188571
TextTokens,2,95000,1.3575567730504596
TextTokens,2,100000,1.363556646975282
TextTokens,4,5000,1.3179473665068162
TextTokens,4,10000,1.4222499099429426
TextTokens,4,15000,1.4809255778174653
TextTokens,4,20000,1.5221250608960097
TextTokens,4,25000,1.5544776709973605
TextTokens,4,30000,1.5800650354664953
TextTokens,4,35000,1.601847531233351
TextTokens,4,40000,1.620693680406497
TextTokens,4,45000,1.637707056892878
TextTokens,4,50000,1.6515704947405343
TextTokens,4,55000,1.665099552116538
TextTokens,4,60000,1.6758852645891706
TextTokens,4,65000,1.6861549867733692
TextTokens,4,70000,1.69571069599968
TextTokens,4,75000,1.7048132675977585
TextTokens,4,80000,1.7131364752802003
TextTokens,4,85000,1.7188687674339915
TextTokens,4,90000,1.7249422516595756
TextTokens,4,95000,1.7314764992077196
TextTokens,4,100000,1.7373764331689519
TextTokens,8,5000,1.710721462144448
TextTokens,8,10000,1.852126626999119
TextTokens,8,15000,1.9360380803050894
TextTokens,8,20000,1.994161554710917
TextTokens,8,25000,2.037867531217706
TextTokens,8,30000,2.073115827739951
TextTokens,8,35000,2.101726955237815
TextTokens,8,40000,2.1253825587449215
TextTokens,8,45000,2.1474486046356915
TextTokens,8,50000,2.1636581791652567
TextTokens,8,55000,2.1801816757685493
TextTokens,8,60000,2.1948548679334743
TextTokens,8,65000,2.2059325679053
TextTokens,8,70000,2.215706629752858
TextTokens,8,75000,2.2262335454505218
TextTokens,8,80000,2.2363144682606966
TextTokens,8,85000,2.245904880478006
TextTokens,8,90000,2.2548542073357654
TextTokens,8,95000,2.262674367869292
TextTokens,8,100000,2.2704571834315894
TextTokens,16,5000,2.2929141793962855
TextTokens,16,10000,2.4752918404904998
TextTokens,16,15000,2.574491446641497
TextTokens,16,20000,2.641840239556865
TextTokens,16,25000,2.69360813898363
TextTokens,16,30000,2.7329530789748433
TextTokens,16,35000,2.764323801832013
TextTokens,16,40000,2.7919655997685298
TextTokens,16,45000,2.816049255127914
TextTokens,16,50000,2.832662711304759
TextTokens,16,55000,2.8498208812147916
TextTokens,16,60000,2.866705319361687
TextTokens,16,65000,2.881784718936643
TextTokens,16,70000,2.894972081695478
TextTokens,16,75000,2.9058525016108323
TextTokens,16,80000,2.915979215225114
TextTokens,16,85000,2.9235494749035595
TextTokens,16,90000,2.928096495637322
TextTokens,16,95000,2.9329723011670215
TextTokens,16,100000,2.9378659930147273
TextTokens,32,5000,3.0357073044128757
TextTokens,32,10000,3.2508699528963234
TextTokens,32,15000,3.3687890600564816
TextTokens,32,20000,3.4495351876931566
TextTokens,32,25000,3.507556360070069
TextTokens,32,30000,3.552469200307515
TextTokens,32,35000,3.5889244263960935
TextTokens,32,40000,3.615923131911708
TextTokens,32,45000,3.643390525408093
TextTokens,32,50000,3.665649113558717
TextTokens,32,55000,3.6861436514691506
TextTokens,32,60000,3.7047961472765176
TextTokens,32,65000,3.718998709528608
TextTokens,32,70000,3.7272992690021343
TextTokens,32,75000,3.7358515169452446
TextTokens,32,80000,3.7453869636592003
TextTokens,32,85000,3.753385481747767
TextTokens,32,90000,3.762853128222437
TextTokens,32,95000,3.7714769228770284
TextTokens,32,100000,3.7802325406245822